"CabinetNo","FloorNo","FloorID","PartNo","PartName","Viscosity","Freq","FreqRank","PositionsAllocated","BoxesAllocated","BoxesPerPosition","PositionWidth_mm","WidthUsed_mm","PositionVolumeUsed_m3","BoxVolumeUsed_m3","PositionUtilization_pct","PercentOfFloorWidth","PercentOfFloorVolume","BoxWidth_mm","BoxDepth_mm","BoxHeight_mm","BoxesPerHeight","BoxesPerDepth","IsPrimary","IsBackfill"
22,1,"C22F1","994641040","BOLT",342.86954342654,474,104,1,8,8,240,240,0.04896,0.032256,65.8823529411765,12.1212121212121,12.1212121212121,240,140,120,2,4,TRUE,FALSE
22,1,"C22F1","B6BG18401B","BOLT,STARTER",342.86954342654,474,105,5,40,8,240,1200,0.2448,0.16128,65.8823529411765,60.6060606060606,60.6060606060606,240,140,120,2,4,TRUE,FALSE
22,1,"C22F1","DK1239040A","RUB-E/MTG;#1",337.786915081091,1141,48,1,2,2,280,280,0.05712,0.02,35.0140056022409,14.1414141414141,14.1414141414141,280,240,240,1,2,TRUE,FALSE
22,1,"C22F1","904400825","SCREW",337.768118074074,460,106,1,8,8,240,240,0.04896,0.032256,65.8823529411765,12.1212121212121,12.1212121212121,240,140,120,2,4,TRUE,FALSE
22,2,"C22F2","9XG02042AF","BOLT",341.964156202056,943,57,7,28,4,280,1960,0.39984,0.225792,56.4705882352941,98.989898989899,98.989898989899,280,240,120,2,2,TRUE,FALSE
22,3,"C22F3","D6513438XB","BRG-STRUT",344.770455037358,3566,14,2,4,2,560,1120,0.22848,0.12,52.5210084033613,56.5656565656566,56.5656565656566,560,240,230,1,2,TRUE,FALSE
22,3,"C22F3","DK1239040A","RUB-E/MTG;#1",337.786915081091,1141,48,3,6,2,280,840,0.17136,0.06,35.0140056022409,42.4242424242424,42.4242424242424,280,240,240,1,2,TRUE,FALSE
22,4,"C22F4","DK1239040A","RUB-E/MTG;#1",337.786915081091,1141,48,7,14,2,280,1960,0.39984,0.14,35.0140056022409,98.989898989899,98.989898989899,280,240,240,1,2,TRUE,FALSE
22,5,"C22F5","DK1239040A","RUB-E/MTG;#1",337.786915081091,1141,48,2,4,2,280,560,0.11424,0.04,35.0140056022409,28.2828282828283,28.2828282828283,280,240,240,1,2,TRUE,FALSE
22,5,"C22F5","904400825","SCREW",337.768118074074,460,106,4,32,8,240,960,0.19584,0.129024,65.8823529411765,48.4848484848485,48.4848484848485,240,140,120,2,4,TRUE,FALSE
22,5,"C22F5","9YB041028","NUT-FLANGE",337.768118074074,460,107,1,8,8,240,240,0.04896,0.032256,65.8823529411765,12.1212121212121,12.1212121212121,240,140,120,2,4,TRUE,FALSE
23,1,"C23F1","9YB041028","NUT-FLANGE",337.768118074074,460,107,4,32,8,240,960,0.19584,0.129024,65.8823529411765,48.4848484848485,48.4848484848485,240,140,120,2,4,TRUE,FALSE
23,1,"C23F1","D65145915","HOLDER-PIPE",334.447542568575,451,108,4,32,8,240,960,0.19584,0.129024,65.8823529411765,48.4848484848485,48.4848484848485,240,140,120,2,4,TRUE,FALSE
23,2,"C23F2","L206614H5A","CLIP",331.841901542056,444,110,3,24,8,240,720,0.14688,0.096768,65.8823529411765,36.3636363636364,36.3636363636364,240,140,120,2,4,TRUE,FALSE
23,2,"C23F2","ZJ0818867","CLIP",331.841901542056,444,111,5,40,8,240,1200,0.2448,0.16128,65.8823529411765,60.6060606060606,60.6060606060606,240,140,120,2,4,TRUE,FALSE
23,3,"C23F3","DJ3534170","LINK-CONTROL",330.907842155486,3285,15,3,6,2,560,1680,0.34272,0.18,52.5210084033613,84.8484848484848,84.8484848484849,560,240,240,1,2,TRUE,FALSE
