PartNo,Freq,Volume,Viscosity,AllocatedVolume_m3,Benefit
D6524608XA,787,7.87,280.535202782111,0.191789535858521,958.481538726478
9XG10267X0,623,5.02269905454546,277.983787611371,0.153216705779688,754.274992372472
B00143694A,310,1.2495168,277.326035967263,0.0764202742298608,374.741105172894
DN3213382A,2294,68.82,276.526068692748,0.567146003511247,2767.83377541419
B00156170C,308,1.241856,276.385399196283,0.0761856473190879,371.494103476195
994541090,304,1.225728,274.584823682638,0.0756893186003753,365.086992722526
DN2069532,75,0.0756,272.772362794991,0.0187974284194504,89.6725991079393
ZJ2113390,4436,266.16,271.906846793775,1.11534425824988,5292.47738133821
D6516679YA,2217,66.51,271.845544381364,0.557546399864155,2644.6421990294
ZJ1413460,2205,66.15,271.108834234519,0.556035431232863,2625.49141607767
9YA021059A,293,1.181376,269.571235100577,0.0743073226894965,347.522292035091
D65157510B,711,7.11,266.645832519468,0.182293986460008,836.956016536525
D65157520B,709,7.09,266.270539113887,0.182037414923341,833.779442677837
D65156731,284,1.145088,265.398771542952,0.073157182928216,333.213485368157
D65168424A,277,1.116864,262.10760543219,0.0722499728465252,322.125033962477
D65168454B,277,1.116864,262.10760543219,0.0722499728465252,322.125033962477
DN3257720B,2049,61.465,261.353316427177,0.535983579713327,2377.84469133714
9YA110619,272,1.096704,259.73124082466,0.0715949278390199,314.227298266313
9YB041026,266,1.0723104,256.874726953213,0.0707942199799884,304.797044666264
9YA020659,264,1.064448,255.88315785958,0.0705342036021944,301.631526485354
9YB041203,264,1.064448,255.88315785958,0.0705342036021944,301.631526485354
DN5557510,654,6.54,255.734237050888,0.174834210254951,746.896999294669
DN3257L30G,2671,109.136,255.675946245134,0.71420281572086,3049.87798092381
994640616,258,1.040256,252.958682867569,0.0697280719433487,292.218679720881
DN3257L90G,2609,106.676,252.604287560538,0.70610762825506,2951.85821655223
DG9969452,631,6.30333333333333,251.329936887943,0.171641649306382,711.14302337408
DG9969453,631,6.30333333333333,251.329936887943,0.171641649306382,711.14302337408
ZJ2140080,629,6.29,250.798724079689,0.17146001788058,707.725940972935
D65142631C,616,6.1564,248.266028790215,0.169629333903804,687.601234322072
DF7169532B,248,0.999936,248.007936380948,0.0683633984588134,276.598385420578
DN0357KN0,1843,55.29,247.857485933617,0.508347669542096,2054.53781439177
TC4042239,605,6.0465,246.038656027167,0.168108460330483,670.482239729647
9XG039577L,484,3.9013632,245.040105105204,0.135034808702031,534.626941878876
ZJ3918861B,599,5.99,244.744765010408,0.167321193275008,661.008849976804
DK49675DYA,237,0.955584,242.445379219242,0.0668300793350594,259.51933287201
DF8743481,575,5.747875,239.835897763792,0.163904621565228,623.97380149108
DK5161695A,231,0.931368282352941,239.359824575301,0.0659778659117326,250.254378309472
GJ6E56802,228,0.919296,237.797432802835,0.065548872703059,245.631164788033
DN325697Y,561,5.606,236.938870894687,0.161869150929997,602.506325529771
DK4961157A,561,5.60833333333333,236.889576848821,0.161902834072397,602.398224762499
DN2443621,556,5.557875,235.841595408301,0.161172866293009,594.740941962041
DK4961158B,555,5.545,235.69057063375,0.160986076934918,593.340413136316
GJ6A5114Y,221,0.891072,234.118576658299,0.0645347958466827,234.885685549324
DN3215384A,3244,194.604,232.543906642546,0.9537036029485,3427.23773489442
DK5266151,252,1.1850944,231.48564676307,0.0744241725628995,265.147280677171
9XF20214ZD,431,3.4669824,231.473592321964,0.127295590626233,453.464749531685
H3816888500,176,0.578864,231.325972786496,0.0520146658196427,185.067080924684
9XF002437L,430,3.45791332173913,231.239171238392,0.127128989026263,451.999431259759
D6516851XC02,531,5.31,230.434372436058,0.157537809505095,556.407087097246
D6516851YC02,527,5.27,229.56480566498,0.156943325084711,550.314991686761
CD8466290D02,525,5.25,229.128784747792,0.156645236828753,547.271659232827
994641020,210,0.84672,228.217732293819,0.062908227840759,218.105900675667
ZJ3918861A,516,5.16,227.156333832011,0.155296759197819,533.599386878338
DP0446086,495,4.93983333333333,222.714786008349,0.15194754588075,502.348162186494
G03168866B,210,0.890273664,222.565339385811,0.064505880116193,212.978486055139
9XG15402X0,395,3.177216,221.602025257213,0.121859926662329,398.909661237036
DJ3543825A,198,0.798336,221.60131510698,0.0610844121552042,199.959151320412
994790616,197,0.794247552,221.0488621394,0.0609277982686203,198.461779047481
9XG00087X0,196,0.78898176,220.659479692158,0.0607254893940596,197.111057677903
9YA42A815,196,0.790272,220.479275922049,0.0607751220050375,196.951769590566
