PartNo,Volume,Freq,Viscosity
D65156652,1.36,136,116.619037896906
DJ3539040A,11.88,396,114.891252930761
994500616,0.213696,53,114.650954072966
DN0357K30,11.82,394,114.600756251141
9XG13939X0,1.115136,121,114.583333333333
DJ5143825A,1.31,131,114.455231422596
DN3256620A,11.76,392,114.309521329882
DL4046030,1.3,130,114.017542509914
GAL269470B75,46.8,780,114.017542509914
FD0168AC3,1.29,129,113.578166916005
9YA010510,0.209664,52,113.564190644874
9YB120607,0.209664,52,113.564190644874
D651624B0B,1.27,127,112.694276695846
9XG037157L,0.814464,101,111.914259981924
9YA021064,0.2016,50,111.358850796843
FNFB199G1,11.01,367,110.60440015358
G05425421,0.197568,49,110.239637961025
C23556860,10.92,364,110.151410945722
F15158866,10.74,358,109.239797387826
9XG000057L,0.71604,92,108.72243872961
DN3266YH1,10.41,347,107.548438699345
D65167B1X,1.15,115,107.238052947636
9XG054481M,0.73713024,92,107.155807486272
GJ6E50715B,0.185472,46,106.811657410276
DP0757L90H,18.2,455,106.653645038508
ZJ0116410,40.68,678,106.301458127347
GJ6A58512,9.87,329,104.721853816033
DK5157K1XA,4.38,219,104.642247682282
C60225741,9.83978571428571,328,104.563719490828
DN3250891,0.1772928,44,104.497795119784
DN326122Y,39.0857142857143,652,104.28901586653
DN7409010A,1.06,106,102.95630140987
H26061895,0.169269408,42,102.084558000915
9XG065577L,0.677376,84,102.062072615966
DN3255YH1,37.0710810810811,618,101.501123508723
9XF204122M,0.6587904,82,101.027643117971
DK496625YA,0.92736,96,99.6889572558454
DK4956786B,8.90932258064516,297,99.5025263267351
GJ6A58975,8.76,292,98.657657246325
D65255540A,8.7,290,98.3192080250175
GAL269470B30,34.74,579,98.2344135219425
DN3466120B,23.85,477,97.6729235765982
BN7N66490,0.94,94,96.9535971483266
9XG027512M,0.60350976,75,96.5426275096743
BBN758867,0.149184,37,95.7945055918517
997016050,0.149184,37,95.7945055918517
ZJ0216460,8.22,274,95.5684745788763
DP0441600A,8.13,271,95.0438495292217
DK4956652A,0.8824,89,94.7452087359698
DN2419960A,8.04,268,94.5163125250522
DK4959YA1A68,0.8899,89,94.3451117566362
DG9956930,7.98,266,94.1629792788369
9XF001222M,0.56448,70,93.1694990624912
9XG05365X0,0.56448,70,93.1694990624912
DN3260K10B68,124.608,1039,93.0770445512395
